RefDes,Value,Name,Digikey Part Number,
C1,4.7uF,CAP0603-CAP,445-1417-1-ND,
"C6, C12, C13, C18",1uF,CAP0603-CAP,587-2984-1-ND,
"C7, C8, C9, C17, C19",0.1uF,CAP0603-CAP,445-1316-1-ND,
C14,220nF,CAP0603-CAP,445-1318-1-ND,
"C15, C16",12pF,CAP0603,445-1270-1-ND,
"D1, D4, D5, D6",1N4148,DIODE_0603,641-1285-1-ND,
"D2, D8",RED,LEDCHIP-LED0805,754-1123-1-ND,
D3,GREEN,LEDCHIP-LED0805,732-4971-1-ND,
D7,BLUE,LEDCHIP-LED0805,732-4966-1-ND,
LP1,,LP5907,LP5907MFX-3.3/NOPB-ND,Digikey has high minimum on this
"R1, R8, R3, R14",10k,RESISTOR0603-RES,311-10.0KHRCT-ND,
"R4, R5, R9, R10",1k,RESISTOR0603-RES,311-1.00KHRCT-ND,
"R6, R7",220,RESISTOR0603-RES,P220HCT-ND,
"R11, R12, R13",1.5k,RES_0603,311-1.50KHRCT-ND,
"R15, R2",2.2k,RES_0603,311-2.20KHRCT-ND,"This controls charge current, A=890/R"
S1,,SMA_EDGE,,
U2,,RFM22SMD,,
U3,,ATMEGA328_SMT,ATMEGA328P-AURCT-ND,
U5,,LFCN,311-0.0ERCT-ND,"Minicircuits LPF, can be replaced with 1206 0ohm"
U6,,BQ24075,296-23840-1-ND,
U7,,TRANSISTOR_NPNSOT23,ZXTN07012EFFCT-ND,
U9,,CP2102,336-1160-5-ND,
U10,,10103594-0001LF,609-4050-1-ND,
X1,,XTAL-4-3225,644-1174-1-ND,
Buzzer (very loud),,Buzzer,AI-3035-TWT-3V-R,